finding_id,station,mode,verdict,propagates_with,asset_id,peer_stations,n_affected,n_stations,summary,containment_from,containment_to,units_in_window
UNASSIGNED_MODE,-,LBL-ERR,SYSTEMIC,control plan,-,S1;S2;S3;S4;S5;S6;S7;S8;S9,9,9,"Present at 9 of 9 stations. This is one problem with the control plan, not 9 local ones — fixing it station by station is the expensive way to never finish.",,,
DECLARED_SILENT,-,SEAL-GAP,SHARED_ASSET,control plan,-,S3;S6;S9,3,9,"Present at 3 of 9 stations. Confined to part of the floor, so the plan is inconsistent rather than uniformly wrong — worth knowing which is which.",,,
LATE_FIRST_LOOK,-,CMP-MISS,SHARED_ASSET,control plan,-,S2;S3;S5;S6;S8;S9,6,9,"Present at 6 of 9 stations. Confined to part of the floor, so the plan is inconsistent rather than uniformly wrong — worth knowing which is which.",,,
LATE_FIRST_LOOK,-,SLD-BRDG,SHARED_ASSET,control plan,-,S2;S3;S5;S6;S8;S9,6,9,"Present at 6 of 9 stations. Confined to part of the floor, so the plan is inconsistent rather than uniformly wrong — worth knowing which is which.",,,
LATE_FIRST_LOOK,-,SRF-SCR,SHARED_ASSET,control plan,-,S3;S6;S9,3,9,"Present at 3 of 9 stations. Confined to part of the floor, so the plan is inconsistent rather than uniformly wrong — worth knowing which is which.",,,
CONDITION_COVERAGE_LOST,S2,DIM-OOS,SHARED_ASSET,robot,ROB-A1,S1,2,9,"This travels with the robot (ROB-A1), not with the station — S1 shares it and is exposed whether or not it has tripped yet. On the same measure, S8 is at 141% of the limit (breached) — that is the next one, and it is invisible from a single-station view. Containment scope: roughly 5,220 units through S2 between 2026-05-01 and 2026-05-30, the window in which the condition existed.",2026-05-01,2026-05-30,5220.0
CONDITION_COVERAGE_LOST,S8,DIM-OOS,SHARED_ASSET,robot,ROB-C1,S7,2,9,"This travels with the robot (ROB-C1), not with the station — S7 shares it and is exposed whether or not it has tripped yet. No other station is near the same limit today. Containment scope: roughly 4,320 units through S8 between 2026-05-06 and 2026-05-30, the window in which the condition existed.",2026-05-06,2026-05-30,4320.0
CONDITION_COVERAGE_LOST,S9,"CMP-MISS,SEAL-GAP,SLD-BRDG,SRF-SCR",SHARED_ASSET,illuminator_model,ILL-220,S3;S6,3,9,"This travels with the illuminator model (ILL-220), not with the station — S3, S6 share it and are exposed whether or not they have tripped yet. No other station is near the same limit today. Containment scope: roughly 6,660 units through S9 between 2026-04-23 and 2026-05-30, the window in which the condition existed.",2026-04-23,2026-05-30,6660.0
TOOLING_TRENDING_TO_LIMIT,S2,-,SHARED_ASSET,fixture_design,FIX-STD-A,S1;S4;S5;S7;S8,6,9,"This travels with the fixture design (FIX-STD-A), not with the station — S1, S4, S5, S7, S8 share it and are exposed whether or not they have tripped yet. No other station is near the same limit today. Containment scope: roughly 5,220 units through S2 between 2026-05-01 and 2026-05-30, the window in which the condition existed.",2026-05-01,2026-05-30,5220.0
TOOLING_TRENDING_TO_LIMIT,S5,-,SHARED_ASSET,robot,ROB-B1,S4,2,9,"This travels with the robot (ROB-B1), not with the station — S4 shares it and is exposed whether or not it has tripped yet. On the same measure, S8 is at 118% of the limit (breached) — that is the next one, and it is invisible from a single-station view.",,,
